name	cpu_time	wall_time	tot_en	cutoff
Magnesium_monoxide	56.11	57.68	-151.58276905	85
Magnesium_monoxide	45.67	46.82	-151.58277941	90
Magnesium_monoxide	68.9	70.6	-151.58279092	95
Borane	2.66	2.82	-9.26463021	30
Borane	3.83	4.0	-9.28193219	35
Borane	6.07	6.3	-9.29284422	40
Borane	7.81	8.2	-9.29992028	45
Borane	9.01	9.41	-9.30461866	50
Borane	9.25	9.65	-9.30720064	55
Borane	9.49	9.95	-9.30851535	60
Borane	13.33	13.85	-9.30915590	65
Borane	13.65	14.13	-9.30943556	70
Borane	16.82	17.46	-9.30954631	75
Borane	18.25	18.94	-9.30958489	80
Borane	15.37	16.03	-9.30959300	85
Borane	20.54	21.34	-9.30959442	90
Borane	19.36	20.15	-9.30959745	95
Hydrogen	9999.0	9999.0	0	30
Hydrogen	9999.0	9999.0	0	35
Hydrogen	9999.0	9999.0	0	40
Hydrogen	9999.0	9999.0	0	45
Hydrogen	9999.0	9999.0	0	50
Hydrogen	9999.0	9999.0	0	55
Hydrogen	9999.0	9999.0	0	60
Hydrogen	9999.0	9999.0	0	65
Hydrogen	9999.0	9999.0	0	70
Hydrogen	9999.0	9999.0	0	75
Hydrogen	9999.0	9999.0	0	80
Hydrogen	9999.0	9999.0	0	85
Hydrogen	9999.0	9999.0	0	90
Hydrogen	9999.0	9999.0	0	95
Fluoroborane	4.2	4.38	-53.99532130	30
Fluoroborane	4.0	4.18	-54.44760570	35
Fluoroborane	5.28	5.55	-54.72525402	40
Fluoroborane	13.33	13.81	-54.88740106	45
Fluoroborane	11.67	12.14	-54.98485732	50
Fluoroborane	12.98	13.45	-55.03336124	55
Fluoroborane	13.47	13.95	-55.05571080	60
Fluoroborane	16.29	16.76	-55.06547937	65
Fluoroborane	21.25	21.98	-55.06904673	70
Fluoroborane	22.84	23.7	-55.07013725	75
Fluoroborane	18.84	19.58	-55.07040427	80
Fluoroborane	21.79	22.57	-55.07043706	85
Fluoroborane	31.44	32.41	-55.07044085	90
Fluoroborane	29.85	30.81	-55.07045038	95
Lithium_dimer	2.55	2.7	-28.06442178	30
Lithium_dimer	3.46	3.59	-28.36431609	35
Lithium_dimer	5.73	5.92	-28.51675206	40
Lithium_dimer	7.04	7.33	-28.58927303	45
Lithium_dimer	7.51	7.86	-28.62453899	50
Lithium_dimer	7.98	8.3	-28.63863689	55
Lithium_dimer	10.1	10.45	-28.64386832	60
Lithium_dimer	13.59	14.09	-28.64565987	65
Lithium_dimer	16.04	16.51	-28.64613730	70
Lithium_dimer	17.92	18.57	-28.64622641	75
Lithium_dimer	19.4	20.1	-28.64623613	80
Lithium_dimer	17.47	18.21	-28.64623992	85
Lithium_dimer	25.11	25.9	-28.64624581	90
Lithium_dimer	23.34	24.12	-28.64625080	95
Pentasilane	8.81	8.98	-54.83904701	30
Pentasilane	10.21	10.43	-54.88368583	35
Pentasilane	11.99	12.26	-54.90965512	40
Pentasilane	22.56	23.07	-54.92450181	45
Pentasilane	21.95	22.4	-54.93369075	50
Pentasilane	21.64	22.1	-54.93875330	55
Pentasilane	22.32	22.68	-54.94150656	60
Pentasilane	34.27	34.92	-54.94302022	65
Pentasilane	40.53	41.18	-54.94376839	70
Pentasilane	35.61	36.3	-54.94410625	75
Pentasilane	39.31	40.13	-54.94425216	80
Pentasilane	42.0	42.77	-54.94430434	85
Pentasilane	51.67	52.78	-54.94432437	90
Pentasilane	51.1	52.13	-54.94433944	95
Disilane	4.25	4.39	-23.86447335	30
Disilane	4.88	5.04	-23.88221693	35
Disilane	5.9	6.1	-23.89265938	40
Disilane	8.15	8.41	-23.89870834	45
Disilane	9.65	10.03	-23.90247106	50
Disilane	10.23	10.55	-23.90452922	55
Disilane	12.06	12.48	-23.90563909	60
Disilane	16.03	16.57	-23.90624383	65
Disilane	16.51	17.05	-23.90653422	70
Disilane	18.69	19.36	-23.90665871	75
Disilane	19.81	20.4	-23.90670775	80
Disilane	21.63	22.23	-23.90672180	85
Disilane	24.72	25.49	-23.90672547	90
Disilane	25.97	26.76	-23.90672861	95
Carbon_oxyselenide	5.77	6.0	-271.88495322	30
Carbon_oxyselenide	7.67	7.88	-278.68693244	35
Carbon_oxyselenide	12.6	12.98	-282.87164739	40
Carbon_oxyselenide	14.99	15.37	-285.21948911	45
Carbon_oxyselenide	21.23	21.8	-286.53023139	50
Carbon_oxyselenide	27.32	28.0	-287.11204034	55
Carbon_oxyselenide	26.03	26.59	-287.34375103	60
Carbon_oxyselenide	34.06	34.8	-287.42901718	65
Carbon_oxyselenide	34.32	35.14	-287.45460024	70
Carbon_oxyselenide	35.07	36.18	-287.46097167	75
Carbon_oxyselenide	43.83	44.9	-287.46230570	80
Carbon_oxyselenide	42.4	43.35	-287.46249367	85
Carbon_oxyselenide	51.97	53.2	-287.46251551	90
Carbon_oxyselenide	46.51	47.52	-287.46252993	95
Gallium_monochloride	5.24	5.42	-176.91703273	30
Gallium_monochloride	5.64	5.83	-180.87768294	35
Gallium_monochloride	7.24	7.48	-183.29916068	40
Gallium_monochloride	11.26	11.61	-184.62650465	45
Gallium_monochloride	12.04	12.39	-185.33266026	50
Gallium_monochloride	11.65	11.99	-185.62487327	55
Gallium_monochloride	14.76	15.2	-185.73138710	60
Gallium_monochloride	17.95	18.46	-185.76631633	65
Gallium_monochloride	19.57	20.1	-185.77524213	70
Gallium_monochloride	22.21	22.97	-185.77697497	75
Gallium_monochloride	24.35	25.11	-185.77720554	80
Gallium_monochloride	24.51	25.12	-185.77722107	85
Gallium_monochloride	30.8	31.65	-185.77722834	90
Gallium_monochloride	32.07	32.96	-185.77723329	95
Phosphorus_mononitride	7.5	7.76	-34.16573372	30
Phosphorus_mononitride	10.89	11.27	-34.28589436	35
Phosphorus_mononitride	14.75	15.34	-34.35965648	40
Phosphorus_mononitride	20.37	21.1	-34.40210147	45
Phosphorus_mononitride	18.67	19.38	-34.42747072	50
Phosphorus_mononitride	25.01	26.04	-34.44037723	55
Phosphorus_mononitride	25.13	25.84	-34.44663437	60
Phosphorus_mononitride	28.55	29.43	-34.44957673	65
Phosphorus_mononitride	39.97	40.88	-34.45075424	70
Phosphorus_mononitride	35.8	36.94	-34.45115476	75
Phosphorus_mononitride	36.21	37.55	-34.45126804	80
Phosphorus_mononitride	41.5	42.78	-34.45128769	85
Phosphorus_mononitride	53.24	54.68	-34.45129388	90
Phosphorus_mononitride	48.25	49.65	-34.45130333	95
Diborane6	3.5	3.65	-18.68621242	30
Diborane6	4.16	4.31	-18.72309061	35
Diborane6	5.4	5.64	-18.74671706	40
Diborane6	7.54	7.81	-18.76147203	45
Diborane6	8.3	8.66	-18.77084454	50
Diborane6	9.08	9.49	-18.77580080	55
Diborane6	10.78	11.12	-18.77832230	60
Diborane6	13.26	13.75	-18.77959407	65
Diborane6	14.38	14.86	-18.78017174	70
Diborane6	17.57	18.15	-18.78040946	75
Diborane6	16.49	17.11	-18.78049225	80
Diborane6	19.4	20.07	-18.78050958	85
Diborane6	20.91	21.56	-18.78051250	90
Diborane6	21.46	22.14	-18.78051880	95
Arsenic_dimer	5.28	5.47	-394.52554614	30
Arsenic_dimer	8.33	8.61	-406.90932474	35
Arsenic_dimer	13.02	13.38	-414.76499319	40
Arsenic_dimer	14.62	14.96	-419.32825786	45
Arsenic_dimer	15.09	15.54	-421.99444851	50
Arsenic_dimer	19.94	20.51	-423.24291658	55
Arsenic_dimer	19.15	19.69	-423.76479044	60
Arsenic_dimer	24.56	25.1	-423.96229802	65
Arsenic_dimer	20.51	20.93	-424.02119637	70
Arsenic_dimer	29.27	29.93	-424.03479471	75
Arsenic_dimer	25.9	26.56	-424.03700874	80
Arsenic_dimer	34.77	35.61	-424.03714114	85
Arsenic_dimer	32.89	33.63	-424.03717211	90
Arsenic_dimer	35.92	36.75	-424.03721536	95
Sodium_dimer	3.72	3.89	-177.39668481	30
Sodium_dimer	5.2	5.37	-179.77294697	35
Sodium_dimer	6.66	6.9	-181.17638310	40
Sodium_dimer	7.12	7.33	-181.95248353	45
Sodium_dimer	7.72	8.04	-182.39356505	50
Sodium_dimer	9.09	9.39	-182.60162148	55
Sodium_dimer	8.69	9.01	-182.69306360	60
Sodium_dimer	12.19	12.58	-182.73112409	65
Sodium_dimer	12.77	13.11	-182.74426883	70
Sodium_dimer	14.55	14.98	-182.74800514	75
Sodium_dimer	17.27	17.81	-182.74882322	80
Sodium_dimer	19.01	19.59	-182.74890745	85
Sodium_dimer	18.4	18.9	-182.74888375	90
Sodium_dimer	20.35	20.91	-182.74890164	95
Dipotassium	5.31	5.51	-119.93501578	30
Dipotassium	5.01	5.16	-120.03990146	35
Dipotassium	6.72	6.92	-120.09422434	40
Dipotassium	8.91	9.21	-120.12083515	45
Dipotassium	9.8	10.16	-120.13422531	50
Dipotassium	10.27	10.62	-120.13975005	55
Dipotassium	13.64	14.11	-120.14183511	60
Dipotassium	17.05	17.49	-120.14255054	65
Dipotassium	18.74	19.25	-120.14273631	70
Dipotassium	19.19	19.76	-120.14276974	75
Dipotassium	20.03	20.66	-120.14277563	80
Dipotassium	22.28	22.86	-120.14278087	85
Dipotassium	25.76	26.47	-120.14278641	90
Dipotassium	34.54	35.4	-120.14278990	95
Dirubidium	3.87	4.06	-108.22042304	30
Dirubidium	5.1	5.28	-108.24485487	35
Dirubidium	6.68	6.91	-108.24994493	40
Dirubidium	9.73	10.01	-108.25058189	45
Dirubidium	10.78	11.18	-108.25061516	50
Dirubidium	15.26	15.68	-108.25065362	55
Dirubidium	11.66	12.1	-108.25068689	60
Dirubidium	20.11	20.66	-108.25069774	65
Dirubidium	18.56	19.08	-108.25070240	70
Dirubidium	21.55	22.25	-108.25071443	75
Dirubidium	21.46	22.09	-108.25073242	80
Dirubidium	21.91	22.59	-108.25074635	85
Dirubidium	28.78	29.56	-108.25075357	90
Dirubidium	27.85	28.63	-108.25075609	95
Hydrazene	3.65	3.78	-45.52723703	30
Hydrazene	4.69	4.84	-45.79223782	35
Hydrazene	6.29	6.48	-45.95264112	40
Hydrazene	8.59	8.85	-46.04487059	45
Hydrazene	9.33	9.67	-46.09867733	50
Hydrazene	9.29	9.66	-46.12565782	55
Hydrazene	11.4	11.8	-46.13882553	60
Hydrazene	15.56	16.02	-46.14521880	65
Hydrazene	16.01	16.51	-46.14788337	70
Hydrazene	18.99	19.64	-46.14880879	75
Hydrazene	19.22	19.84	-46.14906634	80
Hydrazene	20.65	21.21	-46.14910506	85
Hydrazene	21.41	22.08	-46.14911101	90
Hydrazene	24.78	25.54	-46.14912359	95
Hexafluorobenzene	14.79	15.06	-360.77090339	30
Hexafluorobenzene	18.52	18.77	-363.69535470	35
Hexafluorobenzene	21.25	21.55	-365.53705962	40
Hexafluorobenzene	33.35	33.79	-366.62245588	45
Hexafluorobenzene	35.75	36.22	-367.27245844	50
Hexafluorobenzene	39.25	39.78	-367.59905348	55
Hexafluorobenzene	40.77	41.26	-367.74967423	60
Hexafluorobenzene	60.79	61.48	-367.81638765	65
Hexafluorobenzene	61.19	61.83	-367.84202647	70
Hexafluorobenzene	65.36	66.33	-367.85084585	75
Hexafluorobenzene	83.35	84.32	-367.85351550	80
Hexafluorobenzene	73.14	74.03	-367.85404395	85
Hexafluorobenzene	85.11	86.13	-367.85414190	90
Hexafluorobenzene	94.12	95.16	-367.85420165	95
Sodium_tetramer	8.23	8.52	-354.76762337	30
Sodium_tetramer	25.59	26.19	-359.52396370	35
Sodium_tetramer	16.52	16.9	-362.33415241	40
Sodium_tetramer	19.06	19.53	-363.88800650	45
Sodium_tetramer	17.41	17.89	-364.77108540	50
Sodium_tetramer	23.42	24.02	-365.18776089	55
Sodium_tetramer	31.72	32.37	-365.37087487	60
Sodium_tetramer	37.9	38.67	-365.44732553	65
Sodium_tetramer	39.22	39.91	-365.47373635	70
Sodium_tetramer	43.65	44.53	-365.48120048	75
Sodium_tetramer	51.72	52.84	-365.48285469	80
Sodium_tetramer	47.64	48.67	-365.48302687	85
Sodium_tetramer	55.83	56.9	-365.48304173	90
Sodium_tetramer	48.56	49.57	-365.48307864	95
Sodium_hexamer	8.19	8.38	-532.22581723	30
Sodium_hexamer	10.76	10.99	-539.35668556	35
Sodium_hexamer	16.91	17.19	-543.56941376	40
Sodium_hexamer	19.54	19.92	-545.89839611	45
Sodium_hexamer	21.39	21.84	-547.22160990	50
Sodium_hexamer	21.54	21.98	-547.84592317	55
Sodium_hexamer	25.9	26.33	-548.12041426	60
Sodium_hexamer	35.7	36.32	-548.23493954	65
Sodium_hexamer	38.47	38.97	-548.27453348	70
Sodium_hexamer	43.05	43.85	-548.28575281	75
Sodium_hexamer	44.88	45.68	-548.28823041	80
Sodium_hexamer	47.13	47.85	-548.28848781	85
Sodium_hexamer	55.33	56.08	-548.28856041	90
Sodium_hexamer	60.23	61.26	-548.28861674	95
Carbon_oxysulfide	6.75	7.05	-66.48292876	30
Carbon_oxysulfide	7.07	7.31	-66.76962554	35
Carbon_oxysulfide	9.0	9.32	-66.93659449	40
Carbon_oxysulfide	14.38	14.81	-67.03062667	45
Carbon_oxysulfide	18.58	19.27	-67.08878412	50
Carbon_oxysulfide	17.25	17.78	-67.11945752	55
Carbon_oxysulfide	16.41	16.88	-67.13498076	60
Carbon_oxysulfide	23.4	23.97	-67.14264809	65
Carbon_oxysulfide	31.72	32.51	-67.14581179	70
Carbon_oxysulfide	28.87	29.87	-67.14696670	75
Carbon_oxysulfide	32.37	33.3	-67.14735790	80
Carbon_oxysulfide	33.25	34.13	-67.14745730	85
Carbon_oxysulfide	36.36	37.31	-67.14747636	90
Carbon_oxysulfide	42.71	43.84	-67.14748445	95
Formaldehyde	3.75	3.92	-46.71867218	30
Formaldehyde	4.75	4.97	-47.00058406	35
Formaldehyde	7.75	8.05	-47.16627571	40
Formaldehyde	8.1	8.43	-47.26239311	45
Formaldehyde	13.52	14.08	-47.32307167	50
Formaldehyde	13.14	13.58	-47.35542921	55
Formaldehyde	14.64	15.2	-47.37181089	60
Formaldehyde	18.6	19.15	-47.37977586	65
Formaldehyde	20.31	20.89	-47.38304786	70
Formaldehyde	23.75	24.53	-47.38423596	75
Formaldehyde	26.74	27.58	-47.38463655	80
Formaldehyde	26.05	26.78	-47.38473801	85
Formaldehyde	27.3	28.13	-47.38476179	90
Formaldehyde	31.42	32.38	-47.38476856	95
Carbon_tetraiodide	7.42	7.6	-115.25408890	30
Carbon_tetraiodide	9.1	9.3	-115.30339147	35
Carbon_tetraiodide	11.6	11.89	-115.33169584	40
Carbon_tetraiodide	17.57	17.99	-115.35106936	45
Carbon_tetraiodide	19.84	20.32	-115.36603126	50
Carbon_tetraiodide	20.79	21.19	-115.37534022	55
Carbon_tetraiodide	24.23	24.71	-115.38056332	60
Carbon_tetraiodide	33.54	34.2	-115.38322874	65
Carbon_tetraiodide	33.41	33.96	-115.38430971	70
Carbon_tetraiodide	37.85	38.55	-115.38474589	75
Carbon_tetraiodide	38.61	39.42	-115.38497874	80
Carbon_tetraiodide	42.24	43.11	-115.38510729	85
Carbon_tetraiodide	46.46	47.38	-115.38518156	90
Carbon_tetraiodide	51.48	52.47	-115.38521677	95
Cyclopentadiene	6.26	6.46	-66.56018169	30
Cyclopentadiene	7.43	7.6	-66.81996863	35
Cyclopentadiene	8.92	9.14	-66.98336153	40
Cyclopentadiene	12.26	12.58	-67.08133186	45
Cyclopentadiene	14.06	14.42	-67.14202157	50
Cyclopentadiene	17.69	18.1	-67.17568752	55
Cyclopentadiene	17.91	18.36	-67.19386130	60
Cyclopentadiene	23.58	24.09	-67.20374225	65
Cyclopentadiene	26.39	26.89	-67.20856384	70
Cyclopentadiene	27.95	28.62	-67.21070296	75
Cyclopentadiene	31.2	31.88	-67.21158340	80
Cyclopentadiene	33.48	34.2	-67.21185067	85
Cyclopentadiene	36.95	37.8	-67.21191578	90
Cyclopentadiene	43.37	44.26	-67.21192812	95
Copper_cyanide	10.18	10.48	-397.45211742	30
Copper_cyanide	12.9	13.26	-403.31611300	35
Copper_cyanide	23.2	23.76	-406.94044832	40
Copper_cyanide	19.11	19.61	-409.06929019	45
Copper_cyanide	23.94	24.59	-410.37616347	50
Copper_cyanide	26.12	26.83	-411.05028281	55
Copper_cyanide	32.6	33.5	-411.37648384	60
Copper_cyanide	33.04	33.68	-411.52842555	65
Copper_cyanide	42.19	43.09	-411.58896320	70
Copper_cyanide	38.96	40.05	-411.61015725	75
Copper_cyanide	44.23	45.17	-411.61687654	80
Copper_cyanide	56.55	57.68	-411.61840327	85
Copper_cyanide	50.32	51.42	-411.61867291	90
Copper_cyanide	63.58	64.95	-411.61870166	95
Carbon_tetrabromide	7.26	7.49	-137.70201755	30
Carbon_tetrabromide	9.77	10.02	-137.76591096	35
Carbon_tetrabromide	12.62	12.89	-137.79644632	40
Carbon_tetrabromide	15.62	15.95	-137.81274043	45
Carbon_tetrabromide	17.57	18.02	-137.82292613	50
Carbon_tetrabromide	19.83	20.22	-137.82856001	55
Carbon_tetrabromide	30.71	31.34	-137.83162391	60
Carbon_tetrabromide	29.1	29.68	-137.83330124	65
Carbon_tetrabromide	29.93	30.43	-137.83412002	70
Carbon_tetrabromide	33.91	34.58	-137.83449045	75
Carbon_tetrabromide	39.97	40.81	-137.83465313	80
Carbon_tetrabromide	50.93	51.98	-137.83470951	85
Carbon_tetrabromide	42.06	42.9	-137.83472856	90
Carbon_tetrabromide	45.98	46.87	-137.83473647	95
Carbon_tetrachloride	7.86	8.06	-143.10031367	30
Carbon_tetrachloride	10.44	10.69	-143.18628903	35
Carbon_tetrachloride	13.17	13.53	-143.23083581	40
Carbon_tetrachloride	19.32	19.74	-143.25255735	45
Carbon_tetrachloride	17.14	17.5	-143.26436755	50
Carbon_tetrachloride	19.97	20.38	-143.27040571	55
Carbon_tetrachloride	23.29	23.77	-143.27362916	60
Carbon_tetrachloride	31.75	32.41	-143.27535930	65
Carbon_tetrachloride	32.0	32.64	-143.27618900	70
Carbon_tetrachloride	39.54	40.32	-143.27655029	75
Carbon_tetrachloride	40.72	41.55	-143.27670672	80
Carbon_tetrachloride	44.38	45.27	-143.27676342	85
Carbon_tetrachloride	50.35	51.32	-143.27678382	90
Carbon_tetrachloride	52.73	53.72	-143.27679017	95
Urea	5.78	5.96	-90.09946809	30
Urea	7.34	7.54	-90.63759752	35
Urea	10.43	10.71	-90.96309797	40
